Designator,Mid X,Mid Y,Layer,Rotation
C1,27.6,8.3,T,270.0
C2,28.0,14.3,T,180.0
C3,52.0,7.5,T,90.0
C4,35.3875,17.0,T,180.0
C5,47.5375,22.25,T,180.0
C6,49.5,13.5,T,0.0
C7,50.5,16.65,T,90.0
C8,52.75,20.25,T,90.0
C9,41.2,17.7,T,270.0
D1,15.0,5.9,T,180.0
D10,56.5,16.6,T,270.0
D2,37.9,28.8,T,90.0
D3,18.4,23.7,T,270.0
D4,18.4,13.8,T,270.0
D5,11.5,23.7,T,90.0
D6,33.0,8.0,T,270.0
D7,54.6,16.6,T,90.0
D8,11.5,13.8,T,90.0
D9,35.5,28.8,T,90.0
J1,56.86,27.1,T,0.0
J2,3.35,25.56,T,90.0
J3,3.35,7.96,T,270.0
J5,71.12,27.1,T,0.0
J6,71.08,6.9,T,180.0
K1,68.3,16.8,T,0.0
L1,41.5,9.5,T,180.0
LOGO1,12.741924,29.9,T,0.0
Q1,55.75,20.75,T,270.0
R1,23.6,28.0,T,0.0
R2,35.3875,18.5,T,180.0
R3,33.0,19.4875,T,90.0
R4,50.5,20.7125,T,270.0
R5,38.8,18.25,T,0.0
R6,50.0,24.25,T,180.0
R7,55.9,12.0,T,180.0
RV1,40.02,23.0,T,270.0
U1,45.75,18.75,T,270.0
U2,29.25,24.3,T,0.0
U3,28.0,18.1,T,90.0
